Date,Last Price
06/09/2019,8103.07
05/09/2019,8116.83
04/09/2019,7976.88
03/09/2019,7874.16
30/08/2019,7962.88
29/08/2019,7973.39
28/08/2019,7856.88
27/08/2019,7826.95
26/08/2019,7853.74
23/08/2019,7751.77
22/08/2019,7991.39
21/08/2019,8020.21
20/08/2019,7948.56
19/08/2019,8002.81
16/08/2019,7895.99
15/08/2019,7766.62
14/08/2019,7773.94
13/08/2019,8016.36
12/08/2019,7863.41
09/08/2019,7959.14
08/08/2019,8039.16
07/08/2019,7862.83
06/08/2019,7833.27
05/08/2019,7726.04
02/08/2019,8004.07
01/08/2019,8111.12
31/07/2019,8175.42
30/07/2019,8273.61
29/07/2019,8293.33
26/07/2019,8330.21
25/07/2019,8238.54
24/07/2019,8321.5
23/07/2019,8251.4
22/07/2019,8204.14
19/07/2019,8146.49
18/07/2019,8207.24
17/07/2019,8185.21
16/07/2019,8222.8
15/07/2019,8258.19
12/07/2019,8244.15
11/07/2019,8196.04
10/07/2019,8202.53
09/07/2019,8141.73
08/07/2019,8098.38
05/07/2019,8161.79
03/07/2019,8170.23
02/07/2019,8109.09
01/07/2019,8091.16
28/06/2019,8006.24
27/06/2019,7967.76
26/06/2019,7909.97
25/06/2019,7884.72
24/06/2019,8005.7
21/06/2019,8031.71
20/06/2019,8051.34
19/06/2019,7987.32
18/06/2019,7953.88
17/06/2019,7845.02
14/06/2019,7796.66
13/06/2019,7837.13
12/06/2019,7792.72
11/06/2019,7822.57
10/06/2019,7823.17
07/06/2019,7742.1
06/06/2019,7615.55
05/06/2019,7575.48
04/06/2019,7527.12
03/06/2019,7333.02
31/05/2019,7453.15
30/05/2019,7567.72
29/05/2019,7547.31
28/05/2019,7607.35
24/05/2019,7637.01
23/05/2019,7628.28
22/05/2019,7750.84
21/05/2019,7785.72
20/05/2019,7702.38
17/05/2019,7816.29
16/05/2019,7898.05
15/05/2019,7822.15
14/05/2019,7734.49
13/05/2019,7647.02
10/05/2019,7916.94
09/05/2019,7910.59
08/05/2019,7943.32
07/05/2019,7963.76
06/05/2019,8123.29
03/05/2019,8164
02/05/2019,8036.77
01/05/2019,8049.64
30/04/2019,8095.39
29/04/2019,8149.39
26/04/2019,8133.96
25/04/2019,8106.29
24/04/2019,8102.02
23/04/2019,8120.82
22/04/2019,8015.27
18/04/2019,7998.06
17/04/2019,7996.08
16/04/2019,8000.23
15/04/2019,7976.01
12/04/2019,7984.16
11/04/2019,7947.36
10/04/2019,7964.24
09/04/2019,7909.28
08/04/2019,7953.88
05/04/2019,7938.69
04/04/2019,7891.78
03/04/2019,7895.55
02/04/2019,7848.69
01/04/2019,7828.91
29/03/2019,7729.32
28/03/2019,7669.17
27/03/2019,7643.38
26/03/2019,7691.52
25/03/2019,7637.54
22/03/2019,7642.67
21/03/2019,7838.96
20/03/2019,7728.97
19/03/2019,7723.95
18/03/2019,7714.48
15/03/2019,7688.53
14/03/2019,7630.91
13/03/2019,7643.41
12/03/2019,7591.03
11/03/2019,7558.06
08/03/2019,7408.14
07/03/2019,7421.46
06/03/2019,7505.92
