0.236843651,-0.792738985,-0.79279166,-2.648569918,-1.032947007,-2.648283243,-0.932649109,-2.643911817,-0.932523498,-2.655911625,-1.106452095,-2.656058593,-1.046982469,-2.645320206,-1.047154605
0.253612806,-0.436617583,-0.79279166,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.267691582,-0.493752325,-0.436726736,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0.265014264,-0.735881596,-0.493852417,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.294438645,-0.167862412,-0.735943288,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.290612039,-0.711474522,-0.168014188,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.271243927,-0.381424312,-0.711540085,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.259176404,-0.536464705,-0.381542219,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.272758897,0.159968973,-0.620859999,-0.000236432,0.892770148,0.002248623,-0.094731805,-0.002719185,3.047495308,0.001457527,-0.150403901,0.004051211,-0.265780341,-0.001119652,0.826397341
0.272615236,-0.789688101,0.159765205,-0.00243154,0.829542666,0.00481703,0.217685757,-0.00964108,1.43367261,0.000646145,-0.203804047,0.003692058,-0.646337189,-0.00238235,0.815983891
0.281313256,-0.608021809,-0.78974126,-0.003001311,0.387785647,0.004108456,0.483940449,-0.010070342,-2.275384294,-9.949E-05,-0.059932161,0.00147649,-0.426812777,-0.00166876,0.364753968
0.312187307,-0.137076216,-0.608103779,-0.001182832,0.077529237,-0.002719185,3.047495308,0.000352853,-0.180405982,-0.000339865,0.064816766,-2.15447E-05,0.00526288,-0.000658002,0.084574992
0.3082301,-0.708700991,-0.137232874,-0.000592999,-0.115051504,-0.00964108,1.43367261,0.008534466,0.455582562,-7.28279E-06,-0.000104883,-0.00030497,-0.052273237,0.000290939,0.022721664
0.299845522,-0.614678284,-0.708766993,-0.001999544,-0.26908978,-0.010070342,-2.275384294,0.006183537,-2.909949467,-0.000445068,-0.035068143,0.000216396,0.283756435,-0.001108233,-0.142742669
0.284317076,-0.462966129,-0.614759198,-0.000352372,-0.199919769,0.000352853,-0.180405982,-0.001061604,-0.224403123,-0.000973058,-0.007685743,0.000923155,0.433637384,-0.002873889,-0.26746051
0.265249346,-0.387803434,-0.463071103,0.000237865,0.008797605,0.008534466,0.455582562,-0.008022347,0.656343193,-0.001550305,0.150895648,-0.001119652,0.826397341,-0.001981808,-0.050141803
0.256616627,-0.609408575,-0.387920329,-0.001821021,0.395969956,0.006183537,-2.909949467,-0.009740945,0.323866991,-0.001763818,0.308054872,-0.00238235,0.815983891,-0.001142957,0.245135763
0.214132156,0.109490706,-0.609490324,-0.006967228,1.017991322,-0.001061604,-0.224403123,-0.012855263,0.827064521,-0.002856304,0.700184911,-0.00166876,0.364753968,-0.004050723,1.025357307
0.212578006,-0.759733964,0.109294943,-0.010999165,0.715558882,-0.008022347,0.656343193,-0.013993722,0.624133384,-0.004383069,0.753759995,-0.000658002,0.084574992,-0.008125405,0.957682906
0.231136392,-0.398620205,-0.759791874,-0.009345933,-0.217086084,-0.009740945,0.323866991,-0.008945763,-1.204149802,-0.004151949,0.320875951,0.000290939,0.022721664,-0.008615025,-0.03894657
0.233121526,-0.750581311,-0.398735385,-0.006856266,-0.416980457,-0.012855263,0.827064521,-0.000749006,-0.499134524,-0.00406111,0.002801984,-0.001108233,-0.142742669,-0.007034768,-0.325359003
0.225559734,-0.63215153,-0.750640672,-0.005225483,-0.368151748,-0.013993722,0.624133384,0.00371183,-0.255108384,-0.004510983,-0.077435061,-0.002873889,-0.26746051,-0.006167906,-0.363627005
0.198303328,-0.213903029,-0.632229673,-0.005657069,-0.284811035,-0.008945763,-1.204149802,-0.002311569,0.678226501,-0.0040752,0.069292227,-0.001981808,-0.050141803,-0.006202323,-0.24606315
0.193418855,-0.689008919,-0.214047504,-0.004575211,0.045094575,-0.000749006,-0.499134524,-0.008427716,1.182485531,-0.003768911,0.199471311,-0.001142957,0.245135763,-0.006442628,-0.168192798
0.20147693,-0.621612112,-0.689078045,-0.001846122,0.29355135,0.00371183,-0.255108384,-0.007399888,-3.63597383,-0.003909724,0.124844226,-0.004050723,1.025357307,-0.003765975,-0.110169707
0.189970991,-0.548390889,-0.621691926,-0.003043212,0.068701724,-0.002311569,0.678226501,-0.003774928,-0.623278469,-0.004976453,-0.033737063,-0.008125405,0.957682906,-0.00175655,0.171451603
0.177942649,-0.537296764,-0.548482316,-0.005616412,-0.125064824,-0.008427716,1.182485531,-0.00278552,0.445098203,-0.006231192,-0.125923478,-0.008615025,-0.03894657,-0.003787857,0.210304989
0.157164047,-0.351470176,-0.53738995,-0.007208473,-0.080773413,-0.007399888,-3.63597383,-0.007014888,2.63400059,-0.006749521,-0.113230385,-0.007034768,-0.325359003,-0.006457928,0.143857559
0.117644216,0.046531548,-0.351592833,-0.00871574,0.852921664,-0.003774928,-0.623278469,-0.013698399,3.19441111,-0.007672385,0.042403644,-0.006167906,-0.363627005,-0.009204578,0.550273465
0.125806772,-0.619393287,0.046345771,-0.008697984,1.12549649,-0.00278552,0.445098203,-0.014643763,0.362565969,-0.007616668,0.132325625,-0.006202323,-0.24606315,-0.009055439,0.632142683
0.086077981,0.050969198,-0.619473453,-0.010779164,0.506591182,-0.007014888,2.63400059,-0.014573769,-0.581371397,-0.007740334,0.194398464,-0.006442628,-0.168192798,-0.009061142,0.587135696
0.052030328,-0.069679408,0.050782717,-0.014992673,0.371939167,-0.013698399,3.19441111,-0.016307345,0.524345893,-0.008340857,0.423534313,-0.003765975,-0.110169707,-0.013009019,0.536936518
0.099360091,0.212388712,-0.069846755,-0.012865352,-0.100672333,-0.014643763,0.362565969,-0.01105091,0.164422817,-0.00692778,0.315985048,-0.00175655,0.171451603,-0.012206298,0.005820064
0.111636575,-0.532027055,0.212176631,-0.007425269,-0.4834097,-0.014573769,-0.581371397,-0.000107523,-0.259773658,-0.005881037,-0.004269927,-0.003787857,0.210304989,-0.008022606,-0.394016899
0.119968912,-0.615787696,-0.532121077,-0.002606249,-0.193381904,-0.016307345,0.524345893,0.011410602,-0.380374026,-0.00590357,-0.108052152,-0.006457928,0.143857559,-0.005332391,-0.338909801
0.076060892,0.139722195,-0.615868435,-0.002874355,-0.053397168,-0.01105091,0.164422817,0.005465529,-0.334011615,-0.006684,-0.107099628,-0.009204578,0.550273465,-0.004077709,-0.156739341
0.057646166,-0.40167109,0.139521639,-0.004751721,0.047594561,-0.000107523,-0.259773658,-0.009433616,0.687913272,-0.007406464,-0.024981053,-0.009055439,0.632142683,-0.005700099,0.006038964
0.087854153,-0.151221225,-0.401785785,0.000449231,-0.065516894,0.011410602,-0.380374026,-0.010423172,-0.780898376,-0.006303216,-0.04481375,-0.009061142,0.587135696,-0.003454681,-0.012268377
0.041830398,0.1846534,-0.15137564,-0.001323119,0.074968228,0.005465529,-0.334011615,-0.008053917,-0.370266716,-0.006815422,-0.106890643,-0.013009019,0.536936518,-0.000439328,0.0923661
0.060506326,-0.396124027,0.184445718,-0.006635054,0.15545221,-0.009433616,0.687913272,-0.003833295,0.247455582,-0.007456558,-0.150405796,-0.012206298,0.005820064,-0.002567443,0.11234926
0.053362457,-0.64102683,-0.396239603,-0.007173613,-0.596655271,-0.010423172,-0.780898376,-0.00388044,-0.916973427,-0.006570039,-0.231580649,-0.008022606,-0.394016899,-0.005083147,-0.079771328
0.03036364,-0.304320146,-0.641103565,-0.006866653,-0.265716347,-0.008053917,-0.370266716,-0.005661789,-0.31631359,-0.006528089,-0.186905075,-0.005332391,-0.338909801,-0.007743339,-0.332520558
0.017630053,-0.522319696,-0.30445028,-0.00525726,0.295938794,-0.003833295,0.247455582,-0.006692357,0.375277552,-0.005910005,-0.016435164,-0.004077709,-0.156739341,-0.007767348,-0.1227404
0.048477983,-0.137630922,-0.522415257,-0.004889529,-0.225465876,-0.00388044,-0.916973427,-0.005906838,-0.026424172,-0.004635995,-0.031740409,-0.005700099,0.006038964,-0.00355775,0.116547862
0.071764123,-0.298218377,-0.137787492,-0.000583173,-0.245301219,-0.005661789,-0.31631359,0.004522552,0.574226192,-0.002403635,-0.114582065,-0.003454681,-0.012268377,-0.001335644,-0.232240577
0.086691805,-0.475724372,-0.298349479,0.003474553,0.395250015,-0.006692357,0.375277552,0.013753919,0.207433489,0.000535088,-0.00836923,-0.000439328,0.0923661,0.001526134,0.045112199
